#=== laboratory ================================================================================================================
#                 name
#  
LABORATORY        "JLab" 
#===============================================================================================================================

#=== collaboration =============================================================================================================
#                 name
#
COLLABORATION     "CLAS"
#===============================================================================================================================
   
#=== experiment ================================================================================================================
#                 year        process                         type                 reference
#
EXPERIMENT        "2015"      "e + p -> e + p + gamma"        "fixed target"       "Phys. Rev. D91, 052014 (2015)"
#===============================================================================================================================
 
#==== data ======================================================================================================================
# bin        xB         t        Q2     Ebeam       phi      obs.     value     stat-     stat+      sys-      sys+   err_tot
#
   10   0.27400  -0.45000   2.54000   5.93200 307.00000       Alu  -0.24000   0.07000   0.07000   0.03000   0.03000   0.07616
   10   0.28400  -0.42000   2.61000   5.93200 330.00000       Alu  -0.15000   0.19000   0.19000   0.07000   0.07000   0.20248
   11   0.26100  -1.22000   2.43000   5.93200  20.00000       Alu  -0.01000   0.08000   0.08000   0.02000   0.02000   0.08246
   11   0.26500  -1.06000   2.45000   5.93200  52.00000       Alu   0.14000   0.09000   0.09000   0.03000   0.03000   0.09487
   11   0.25500  -0.96000   2.37000   5.93200  88.00000       Alu   0.18000   0.20000   0.20000   0.12000   0.12000   0.23324
   11   0.26100  -0.96000   2.43000   5.93200 273.00000       Alu  -0.31000   0.17000   0.17000   0.05000   0.05000   0.17720
   11   0.26200  -1.08000   2.44000   5.93200 308.00000       Alu  -0.16000   0.10000   0.10000   0.04000   0.04000   0.10770
   11   0.26500  -1.23000   2.46000   5.93200 340.00000       Alu  -0.04000   0.07000   0.07000   0.02000   0.02000   0.07280
   12   0.31900  -0.16000   2.55000   5.93200  19.00000       Alu   0.13000   0.05000   0.05000   0.02000   0.02000   0.05385
   12   0.31900  -0.16000   2.50000   5.93200  50.00000       Alu   0.25000   0.07000   0.07000   0.03000   0.03000   0.07616
   12   0.32000  -0.16000   2.53000   5.93200  88.00000       Alu   0.37000   0.14000   0.14000   0.08000   0.08000   0.16125
   12   0.31700  -0.16000   2.55000   5.93200 240.00000       Alu  -0.13000   0.22000   0.22000   0.01000   0.01000   0.22023
   12   0.32100  -0.16000   2.59000   5.93200 273.00000       Alu  -0.12000   0.15000   0.15000   0.05000   0.05000   0.15811
   12   0.31900  -0.16000   2.53000   5.93200 309.00000       Alu  -0.21000   0.07000   0.07000   0.02000   0.02000   0.07280
   12   0.31800  -0.16000   2.55000   5.93200 342.00000       Alu  -0.12000   0.06000   0.06000   0.02000   0.02000   0.06325
   13   0.33800  -0.24000   2.72000   5.93200  19.00000       Alu   0.08000   0.03000   0.03000   0.00000   0.00000   0.03000
   13   0.33800  -0.24000   2.68000   5.93200  51.00000       Alu   0.20000   0.03000   0.03000   0.01000   0.01000   0.03162
   13   0.33700  -0.24000   2.67000   5.93200  89.00000       Alu   0.16000   0.05000   0.05000   0.02000   0.02000   0.05385
   13   0.33700  -0.25000   2.43000   5.93200 122.00000       Alu   0.13000   0.07000   0.07000   0.01000   0.01000   0.07071
   13   0.32600  -0.25000   2.47000   5.93200 161.00000       Alu   0.14000   0.12000   0.12000   0.01000   0.01000   0.12042
   13   0.32200  -0.25000   2.55000   5.93200 201.00000       Alu  -0.07000   0.09000   0.09000   0.03000   0.03000   0.09487
   13   0.33800  -0.24000   2.55000   5.93200 238.00000       Alu  -0.20000   0.07000   0.07000   0.02000   0.02000   0.07280
