Triangle106	122	127	277	
Triangle107	424	60	8	
Triangle108	12	21	134	
Triangle109	51	16	20	
Triangle110	12	108	121	
Triangle111	33	86	67	
Triangle112	33	55	65	
Triangle113	52	58	421	
Triangle114	113	65	62	
Triangle115	27	404	30	
Triangle116	58	66	27	
Triangle117	406	55	33	
Triangle118	403	28	57	
Triangle119	57	34	403	
Triangle120	406	67	4	
Triangle121	275	126	87	
Triangle122	77	86	79	
Triangle123	54	29	28	
Triangle124	31	64	25	
Triangle125	91	344	118	
Triangle126	234	202	233	
Triangle127	277	79	122	
Triangle128	118	276	211	
Triangle129	126	127	125	
Triangle130	165	347	346	
Triangle131	307	292	269	
Triangle132	160	168	163	
Triangle133	146	70	180	
Triangle134	160	136	171	
Triangle135	135	157	133	
Triangle136	383	369	380	
Triangle137	297	171	136	
Triangle138	175	203	206	
Triangle139	91	279	84	
Triangle140	116	146	92	
Triangle141	52	109	63	
Triangle142	207	103	198	
Triangle143	55	68	29	
Triangle144	240	236	268	
Triangle145	112	79	86	
Triangle146	83	308	140	
Triangle147	96	277	147	
Triangle148	115	207	101	
Triangle149	105	129	279	
Triangle150	162	181	104	
Triangle151	210	105	280	
Triangle152	200	179	181	
Triangle153	339	338	170	
Triangle154	223	189	203	
Triangle155	69	93	90	
Triangle156	67	85	4	
Triangle157	81	95	158	
Triangle158	155	329	410	
Triangle159	85	67	77	
Triangle160	112	86	59	
Triangle161	214	117	161	
Triangle162	344	276	118	
Triangle163	122	112	111	
Triangle164	210	92	105	
Triangle165	376	345	367	
Triangle166	211	276	71	
Triangle167	211	280	105	
Triangle168	69	90	239	
Triangle169	93	344	91	
Triangle170	84	128	90	
Triangle171	94	150	179	
Triangle172	173	143	346	
Triangle173	104	75	162	
Triangle174	80	276	344	
Triangle175	255	256	237	
Triangle176	189	223	213	
Triangle177	163	164	159	
Triangle178	216	139	204	
Triangle179	100	206	160	
Triangle180	162	144	97	
Triangle181	178	189	198	
Triangle182	277	127	275	
Triangle183	69	89	93	
Triangle184	148	417	236	
Triangle185	103	115	164	
Triangle186	226	102	231	
Triangle187	77	278	85	
Triangle188	115	158	164	
Triangle189	230	226	294	
Triangle190	116	92	101	
Triangle191	192	218	395	
Triangle192	306	317	143	
Triangle193	208	145	217	
Triangle194	279	91	118	
Triangle195	147	71	96	
Triangle196	188	192	221	
Triangle197	280	211	87	
Triangle198	147	211	71	
Triangle199	124	106	123	
Triangle200	104	181	72	
Triangle201	282	288	286	
Triangle202	110	113	109	
Triangle203	108	12	130	
Triangle204	108	107	109	
Triangle205	109	52	121	
Triangle206	110	109	107	
Triangle207	107	114	110	
Triangle208	113	110	59	
Triangle209	123	111	114	
Triangle210	125	111	123	
Triangle211	59	110	112	
Triangle212	112	110	114	
Triangle213	65	55	54	
Triangle214	109	113	63	
Triangle215	123	114	107	
Triangle216	112	114	111	
Triangle217	98	278	142	
Triangle218	115	103	207	
Triangle219	330	313	312	
Triangle220	142	80	98	
Triangle221	146	180	166	
Triangle222	180	128	166	
Triangle223	278	77	96	
Triangle224	176	207	198	
Triangle225	126	125	119	
Triangle226	304	230	152	
Triangle227	335	18	3	
Triangle228	103	163	168	
Triangle229	13	421	20	
Triangle230	109	121	108	
Triangle231	112	122	79	
Triangle232	127	122	111	
Triangle233	124	123	107	
Triangle234	125	123	106	
Triangle235	108	124	107	
Triangle236	124	120	151	
Triangle237	156	367	151	
Triangle238	87	126	95	
Triangle239	93	91	84	
Triangle240	89	80	409	
Triangle241	95	81	280	
Triangle242	125	127	111	
Triangle243	166	84	279	
Triangle244	33	65	59	
Triangle245	4	85	98	
Triangle246	402	381	336	
Triangle247	12	134	132	
Triangle248	124	130	120	
Triangle249	145	187	97	
Triangle250	130	132	120	
Triangle251	12	132	130	
Triangle252	308	83	76	
Triangle253	135	169	157	
Triangle254	348	72	100	
Triangle255	53	14	20	
Triangle256	132	134	131	
