Triangle468	460	744	500	
Triangle469	186	572	543	
Triangle470	743	738	706	
Triangle471	498	516	788	
Triangle472	453	510	503	
Triangle473	518	457	161	
Triangle474	459	512	-1	
Triangle475	457	464	747	
Triangle476	170	458	495	
Triangle477	144	184	787	
Triangle478	454	501	514	
Triangle479	489	384	347	
Triangle480	791	505	506	
Triangle481	515	464	483	
Triangle482	514	453	503	
Triangle483	487	485	481	
Triangle484	500	707	184	
Triangle485	483	497	508	
Triangle486	360	742	372	
Triangle487	483	517	516	
Triangle488	337	496	490	
Triangle489	479	456	337	
Triangle490	493	488	506	
Triangle491	494	459	495	
Triangle492	508	454	790	
Triangle493	494	175	490	
Triangle494	493	513	491	
Triangle495	491	168	476	
Triangle496	488	515	791	
Triangle497	501	485	499	
Triangle498	789	471	-1	
Triangle499	504	497	789	
Triangle500	484	144	468	
Triangle501	497	504	478	
Triangle502	464	518	517	
Triangle503	482	472	454	
Triangle504	501	499	-1	
Triangle505	509	480	790	
Triangle506	480	434	490	
Triangle507	509	512	434	
Triangle508	492	791	485	
Triangle509	507	505	511	
Triangle510	472	511	790	
Triangle511	509	510	-1	
Triangle512	513	507	474	
Triangle513	434	512	494	
Triangle514	478	-1	482	
Triangle515	481	496	747	
Triangle516	471	789	487	
Triangle517	787	487	502	
Triangle518	473	461	502	
Triangle519	780	778	623	
Triangle520	265	526	522	
Triangle521	265	146	315	
Triangle522	308	520	580	
Triangle523	341	348	317	
Triangle524	136	726	578	
Triangle525	680	677	676	
Triangle526	131	281	520	
Triangle527	613	431	672	
Triangle528	579	599	554	
Triangle529	374	586	367	
Triangle530	328	548	590	
Triangle531	121	404	534	
Triangle532	182	129	121	
Triangle533	272	240	777	
Triangle534	182	531	147	
Triangle535	147	279	127	
Triangle536	223	195	537	
Triangle537	536	661	217	
Triangle538	295	243	149	
Triangle539	149	194	344	
Triangle540	197	238	241	
Triangle541	241	403	151	
Triangle542	562	587	601	
Triangle543	189	469	576	
Triangle544	310	291	394	
Triangle545	547	548	551	
Triangle546	564	193	249	
Triangle547	545	394	558	
Triangle548	201	530	545	
Triangle549	436	378	353	
Triangle550	571	328	226	
Triangle551	571	378	545	
Triangle552	273	291	559	
